Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
1460,182.2296,171.5307,31.7935,10,0.3125,1.0000,0.6405,0.6405,0.000000,0.000000,0.000000
1470,205.3236,169.5975,39.1161,10,0.2913,1.0000,0.7758,0.7758,0.000000,0.000000,0.000000
1480,218.7525,171.3176,37.6675,8,0.3093,1.0000,0.7277,0.7277,0.000000,0.000000,0.000000
1490,201.3563,175.6781,32.0947,10,0.2479,1.0000,0.6702,0.6702,0.000000,0.000000,0.000000
1500,179.7671,171.6031,36.5810,9,0.3093,1.0000,0.7057,0.7057,360.837430,-0.006106,0.318108
1510,171.8943,160.8043,45.5739,10,0.1765,1.0000,0.8128,0.8128,0.000000,0.000000,0.000000
1520,171.8557,153.0154,48.5712,10,0.1307,1.0000,0.8077,0.8077,0.000000,0.000000,0.000000
1530,173.2924,149.3836,48.3150,10,0.1167,1.0000,0.6706,0.6706,109.445046,-0.003753,0.262703
1540,191.7777,149.2542,38.5565,9,0.2586,1.0000,0.6499,0.6499,355.252982,0.006996,0.365898
1550,215.1455,155.1469,41.4864,10,0.2632,1.0000,0.7312,0.7312,0.000000,0.000000,0.000000
1560,221.1180,166.7114,35.6788,9,0.3125,1.0000,0.6625,0.6625,0.000000,0.000000,0.000000
1570,221.1483,177.0223,33.8331,10,0.3000,1.0000,0.7200,0.7200,39.477052,0.001105,0.135328
1580,225.0936,182.9071,45.7133,10,0.2000,1.0000,0.7519,0.7519,0.000000,0.000000,0.000000
1590,229.1429,187.2169,46.6632,10,0.3093,1.0000,0.8104,0.8104,0.000000,0.000000,0.000000
1600,226.7329,190.3271,37.4986,10,0.2521,1.0000,0.6423,0.6423,44.753722,-0.007361,0.177212
1610,221.6504,191.3763,35.2729,9,0.2941,1.0000,0.6708,0.6708,0.000000,0.000000,0.000000
1620,210.0672,189.6796,39.6638,9,0.3191,1.0000,0.6710,0.6710,0.000000,0.000000,0.000000
1630,200.0927,185.8489,42.8090,10,0.2857,1.0000,0.8278,0.8278,361.121090,0.008835,0.180412
1640,186.9996,179.8859,39.2356,9,0.2586,1.0000,0.7055,0.7055,0.000000,0.000000,0.000000
1650,177.5734,171.7271,41.9132,8,0.2913,1.0000,0.7027,0.7027,0.000000,0.000000,0.000000
1660,168.4796,164.3600,43.7810,10,0.3030,1.0000,0.7691,0.7691,341.715829,0.011572,0.164876
1670,173.1039,156.6512,47.5151,9,0.2752,1.0000,0.7492,0.7492,0.000000,0.000000,0.000000
1680,173.0674,153.1975,41.6309,10,0.2521,1.0000,0.6753,0.6753,215.497352,0.002463,0.137340
1690,174.3966,152.0626,48.3839,10,0.1972,1.0000,0.6820,0.6820,0.000000,0.000000,0.000000
1700,175.3986,153.9586,35.4663,10,0.2564,1.0000,0.5809,0.5809,399.807620,-0.002633,0.206045
1710,169.9529,152.4329,44.2400,8,0.3000,1.0000,0.7178,0.7178,0.000000,0.000000,0.000000
1720,173.6173,151.9091,37.2768,10,0.2459,1.0000,0.7275,0.7275,270.475571,-0.001570,0.156109
1730,162.6377,150.7337,36.6027,8,0.2941,1.0000,0.6477,0.6477,0.000000,0.000000,0.000000
1740,167.6472,147.2220,47.4494,10,0.0870,1.0000,0.7323,0.7323,124.929764,0.003245,0.066397
1750,164.7490,146.3201,36.8468,8,0.3488,1.0000,0.6844,0.6844,0.000000,0.000000,0.000000
1760,172.1153,147.1020,37.4243,9,0.3846,1.0000,0.7286,0.7286,0.000000,0.000000,0.000000
1770,167.3819,145.7417,35.8425,10,0.3261,1.0000,0.6924,0.6924,349.605120,-0.006513,0.175607
1780,180.9478,145.4644,34.2239,10,0.3158,1.0000,0.7485,0.7485,0.000000,0.000000,0.000000
1790,179.3973,149.3745,30.9032,10,0.2745,1.0000,0.7371,0.7371,0.000000,0.000000,0.000000
1800,190.5329,151.9723,35.1503,10,0.2929,1.0000,0.7551,0.7551,58.858278,-0.002476,0.130381
1810,199.3203,158.7127,35.4319,9,0.3226,1.0000,0.7484,0.7484,0.000000,0.000000,0.000000
1820,185.5769,167.8906,38.2794,9,0.3448,1.0000,0.8047,0.8047,0.000000,0.000000,0.000000
1830,178.5618,171.5540,42.2779,10,0.3261,1.0000,0.8189,0.8189,0.000000,0.000000,0.000000
1840,178.4454,170.9710,38.0449,10,0.3000,1.0000,0.8003,0.8003,253.687269,-0.004129,0.148886
1850,171.4252,169.5498,39.4549,10,0.3297,1.0000,0.7808,0.7808,0.000000,0.000000,0.000000
1860,168.6413,169.8726,38.8443,10,0.3191,1.0000,0.7564,0.7564,0.000000,0.000000,0.000000
1870,178.3106,170.7211,33.1585,10,0.3797,1.0000,0.6559,0.6559,205.079743,-0.001999,0.112698
1880,181.5125,172.3433,36.8264,10,0.3191,1.0000,0.8093,0.8093,0.000000,0.000000,0.000000
1890,180.9796,174.5727,33.2089,10,0.3704,1.0000,0.5788,0.5788,147.970851,-0.007947,0.113994
1900,185.9937,174.5929,38.1859,10,0.3846,1.0000,0.7385,0.7385,34.111659,0.001244,0.082016
1910,192.5134,172.7312,35.5928,10,0.3659,0.9667,0.7632,0.7632,0.000000,0.000000,0.000000
1920,198.3815,172.3752,37.5154,10,0.3704,1.0000,0.7605,0.7605,0.000000,0.000000,0.000000
1930,195.9942,173.0044,40.1120,9,0.3659,1.0000,0.8104,0.8104,490.345677,-0.006283,0.187536
1940,196.3565,172.4863,39.5914,10,0.3614,1.0000,0.8015,0.8015,0.000000,0.000000,0.000000
1950,188.7318,171.7611,31.0827,10,0.0947,1.0000,0.8394,0.8394,175.775647,0.014245,0.179675
1960,183.1668,166.7360,34.4691,10,0.2929,1.0000,0.7441,0.7441,0.000000,0.000000,0.000000
1970,176.6660,161.7306,41.8817,10,0.2900,1.0000,0.7168,0.7168,0.000000,0.000000,0.000000
1980,183.7998,160.0849,41.6258,10,0.3333,1.0000,0.7830,0.7830,348.601118,-0.001458,0.206547
1990,185.8034,162.4118,35.2719,10,0.3846,1.0000,0.6380,0.6380,0.000000,0.000000,0.000000
2000,196.1627,166.8213,43.2705,10,0.1167,1.0000,0.7720,0.7720,63.470658,-0.006064,0.122657
