Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
810,60.4015,54.8979,45.7964,10,0.1323,1.0000,0.8441,0.8441,0.000000,0.000000,0.000000
820,60.4824,55.6546,45.8783,10,0.2400,1.0000,0.8686,0.8686,0.000000,0.000000,0.000000
830,61.0593,56.0369,46.0231,10,0.1311,1.0000,0.8335,0.8335,0.000000,0.000000,0.000000
840,60.6766,56.1314,51.2609,10,0.0952,1.0000,0.7664,0.7664,0.000000,0.000000,0.000000
850,60.5021,56.2498,51.3993,10,0.0884,1.0000,0.8429,0.8429,0.000000,0.000000,0.000000
860,60.0578,56.1774,46.8042,10,0.0516,1.0000,0.8876,0.8876,0.000000,0.000000,0.000000
870,59.9427,56.1668,31.1359,9,0.0394,1.0000,0.9030,0.9030,0.000000,0.000000,0.000000
880,59.7881,55.4212,44.4602,10,0.1429,1.0000,0.8454,0.8454,0.000000,0.000000,0.000000
890,60.0026,55.2110,48.2273,10,0.1140,1.0000,0.9086,0.9086,0.000000,0.000000,0.000000
900,60.1329,55.3593,35.5115,10,0.0658,1.0000,0.8077,0.8077,0.000000,0.000000,0.000000
910,60.5479,55.8025,45.2503,9,0.0490,1.0000,0.8906,0.8906,0.000000,0.000000,0.000000
920,59.9543,55.5657,38.9446,9,0.1603,1.0000,0.8480,0.8480,3.329957,0.011838,0.152602
930,58.6725,55.2999,43.9679,9,0.2564,1.0000,0.8836,0.8836,0.000000,0.000000,0.000000
940,58.6405,54.6010,39.0181,10,0.1503,1.0000,0.8375,0.8375,1.779523,0.001050,0.178468
950,58.5543,54.4407,42.9534,10,0.1420,1.0000,0.8519,0.8519,0.879677,-0.015687,0.133727
960,58.3044,53.7782,45.4036,10,0.2128,1.0000,0.8002,0.8002,1.110440,0.000910,0.146478
970,58.9065,53.7627,47.5761,10,0.2205,1.0000,0.8089,0.8089,1.096942,-0.002165,0.255981
980,60.1186,54.4603,48.3612,10,0.2000,1.0000,0.7817,0.7817,0.867519,0.000852,0.258791
990,60.4344,55.4487,46.0411,10,0.2158,1.0000,0.8019,0.8019,0.790732,-0.016210,0.268502
1000,60.3204,55.5912,43.4362,10,0.1603,1.0000,0.8024,0.8024,1.591552,0.005994,0.196929
1010,60.4826,55.8994,38.4098,10,0.0442,1.0000,0.8776,0.8776,0.991286,-0.004520,0.168100
1020,60.4563,56.1748,47.8824,10,0.0868,1.0000,0.8689,0.8689,1.185105,-0.001763,0.051492
1030,60.6180,55.9811,55.2345,10,0.0913,1.0000,0.9020,0.9020,1.542000,0.010415,0.115309
